Categoria;Nombre de establecimiento;Teléfono;Correo electrónico;Direccion
HOTEL;RESET HOTEL COWORKING CAFE;3137590470;kthecv@yahoo.com;CR 100 No. 11  60 OF 321
HOTEL;HOTEL QATAR CALI;3188529051;gerencia@hotelqatarcali.com;CR 4 No. 16  29
HOTEL;GHO KARLO HOTEL;3124680618;karlohotelcali@gmail.com;CL 4 No. 27  100
HOTEL;EL VINCULO XXI SAS;6410575;gerencia.vinculoxxi@gmail.com;AV 2N No.7 25
HOSTAL;31 HOSTEL;3114078446;301hostel@gmail.com;CR 23B No. 15A  11
HOTEL;HOTEL AW PUERTA DE SAN CAYETANO;3122455882;hotelurbanchipichape@gmail.com;CR 14 No. 1 57
HOSTAL;CASA ALOM;3138886669;lilitgil@gmail.com;CR 75 No. 14C  16
APARTAHOTEL;TABERNA APARTAHOTEL LAS AVENIDAS;4369411;establecimientosdian@gmail.com;CR 28D No. 72S  39
APARTAHOTEL;APARTAHOTEL LOS GIRASOLES;6023768840;tesoreria@hotelcafeira.com;CR 46 No. 41  04
ALBERGUE;ALCOBAS CERCA AL EXITO SAN FERNANDO;3168650670;carloxpina@hotmail.com;CL 4 No. 39  82
HOTEL;HOTEL AVEI SUITES;3228043285;johanaalarcon2022@gmail.com;CR 56 No. 6A 27
APARTAHOTEL;APARTAESTUDIOS SAN CAYETANO;3176809197;coachmenteefectiva@gmail.com;CL 2 OESTE No. 14  56
GLAMPING;BIAKA;6028880418;contabilidadpelgy@gmail.com;LA AURORA KM 5 VIA PUEBLO PANCE
HOTEL;GHO HOTEL AUSTRAL;3124680618;australhotelcali@gmail.com;CL 1 OESTE No. 2  18
HOTEL;HOSTAL PAJARA PINTA;3175164771;hotelpajarapinta@hotmail.com;CR 4 No. 1  92
HOTEL;HOTEL 9.5 SAN FERNANDO;3117942089;facturacion@nuevepuntocincohotel.com;CR 25 No. 2 OESTE  09
HOTEL;HOTEL LA LUNA;5582611;inversionesvallejoyciasas@gmail.com;AUT SUR No. 13  01
HOTEL;HOTEL LA GUANEÑA JV;3207977288;albadorisgiraldo@gmail.com;CL 27 No. 5  79
HOSTAL;HOSTAL MI REFUGIO;3127935969;hostalmirefugiocali@gmail.com;CR 85B No. 16  68
APARTAHOTEL;HOTEL LAS VERANERAS  2 CALI;3507513716;antenorreyes53@gmail.com;CR 9 No. 7 56
APARTAHOTEL;APARTAHOTEL GANESHA;8834616;contadoradmrp@gmail.com;CR 5 No. 8 33
APARTAHOTEL;APARTAHOTEL 4 ESQUINAS;3185354488;4esquinasapartahotel@gmail.com;CR 27 No. 76  25
APARTAHOTEL;APARTA HOTEL WALVE;6024029595;bambulitasbety14@hotmail.com;CL 95B 1 No. 26P 24
HOSTAL;LA SUCURSAL HOSTEL;3164780290;lasucursalhostel@gmail.com;AV 9A No. 14N  61
REFUGIO;PUERTA DE HIERRO;3155966734;ulysesrivera@gmail.com;CR 26 No. 2  30
HOSTAL;GUAYACAN HOSTEL;3116007115;julioagomezluna@outlook.com;CL 6 No. 13  61
HOTEL;HOTEL CASA BRESSE;3244140230;services@gmzepcg.com;CR 5 No. 3  13
ALBERGUE;APARTAHOTEL TULUM;3122600043;hoteltulumcali@gmail.com;CL 83D No. 23  131
HOSTAL;HOSTAL BEKO;3122874534;cccollazos@hotmail.com;CL 9B No. 41  25
HOTEL;HOTEL AW URBAN ESTADIO;3144339955;hotelurbanestadio@gmail.com;CR 34 No. 5A 23 
GLAMPING;ALOJAMIENTO RURAL LA MARTHICA;3183434265;jaayala1@misena.edu.co;CORR LA ELVIRA VDA ALTO AGUACATAL
HOTEL;AW HOTEL LUXOR VERSALLES;3122455882;hotelluxoraw@gmail.com;CL 23 No. 5A 37
HOSTAL;LUXURY RECOVERY HOUSE N.2;3116454991;contabilidadluxuryrh@gmail.com;CR 59 No. 1D  10
HOTEL;HOTEL QUINTA NORTE CALI;3208736744;901339310@factureinbox.co;AV 5N No. 29AN  48
HOTEL;HOTEL VIP TERRAZA DE SAN ANTONIO MG;6023489878;terrazasanantonio@gmail.com;CR 12 No. 2  54 BRR SAN ANTONIO
APARTAHOTEL;APARTAHOTEL TARDES DE VENECIA;3777143;alejorol2002@hotmail.com;CL 15 No. 21 90
GLAMPING;CIMA DEL VIENTO GLAMPING;3226615204;jonatan.arias@correounivalle.edu.co;KM 10 VIA AL MAR VDA EL PALOMAR
HOTEL;MALIK HOTEL BOUTIQUE;3117461149;gerencia@hotelmalik.com;CR 107 No. 15B  60
GLAMPING;ALMAH GLAMPING;3007005182;almahglamping@gmail.com;QUEBRADA LOS INDIOS KILOMETRO 2 VEREDA SAN FRANCISCO PANCE
HOSTAL;HOSTAL CASA AMARILLA;3123678445;hostel_casa_amarilla@hotmail.com;CL 4 No. 12 69
GLAMPING;GLAMPING LA PAU;3223724321;glampinglapau@gmail.com;CORR LA PAZ CABECERA
HOSTAL;ALAMEDA HOSTEL;3164482830;jokal1401@hotmial.com;CR 23B No. 5 51
APARTAHOTEL;LUXURY RECOVERY HOUSE;3116454991;contabilidadluxuryrh@gmail.com;CR 59 No. 1D  05
APARTAHOTEL;CASA VIEJA APARTAHOTEL;4490187;casaviejamurillo52@yahoo.com;CR 5N No. 64  30
HOTEL;STUDIO ANGELS;3044980458;jhonvalencia3076@hotmail.com;CR 48BIS No. 10  80
HOSTAL;LA CASA DE GALLEGO EN EL ARBOL DE AGUA ALOJAMIENTO Y RESTAURANTE;3008719191;admcasajasbleidy@hotmail.com;VDA VIA AL PATO DONDE TERMINA LA CARRETERA
APARTAHOTEL;APARTAHOTEL NOCHE DE LUNA;3102771202;apartahotelnochedeluna@gmail.com;CR 38 No. 9  97 
HOSTAL;SANDALIO HOSTAL;3012294826;inglobalrentals8@gmail.com;CR 10 No. 4 64
HOSTAL;CALIVIEW INN;3106818845;haroldmar37@hotmail.com;CR 24D No. 4 OESTE  87 
APARTAHOTEL;HOTEL INGENIO REINA ISABEL;3016604877;hotelingenioreinaisabel5@gmail.com;CR 84 No. 15 57
HOTEL;AW HOTEL PUERTA DE SAN ANTONIO;3122455882;puertadesanantonioaw@gmail.com;CL 2 No. 4 14
HOTEL;AW HOTEL SPORT;3144339955;operadoraariston.contabilidad@gmail.com;CR 39 No. 9 50
HOTEL;CASA HOTEL FLOR DEL VALLE;3007770053;casahotel@flordelvalle.com.co;CL 7A No. 44  160
HOSTAL;HOSTAL MANA;6023460612;jokal1401@hotmail.com;CL 11 No. 39 86
HOTEL;HOTEL GRANADA LOFT;3128915063;hotelgranada4272@gmail.com;AV 9 No. 10N  76
APARTAHOTEL;DAJAC S.A.S.;3167479531;inversionesdajac.cali@gmail.com;CL 20 No. 85A 10
APARTAHOTEL;KASA 5TA APARTAHOTEL;3226633633;kasa5taapartahotel@gmail.com;CL 5 No. 34A 32 P 2
APARTAHOTEL;HOTEL LA 44 NORTE;3152627857;hotel44norte@gmail.com;CL 44 No. 4N  61
APARTAHOTEL;HOTEL ROOM 2;3159280436;carolinadelosriosg26@gmail.com;CL 7 No. 36A BIS  30
HOTEL;HOTEL SPICA SCH;3017037399;hotelsch2@gmail.com;AV VAZQUEZ COBO No. 24AN  26
ALBERGUE;PETRONIOS HOSTEL;3145900758;francoruizp@yahoo.com;AV 8N No. 14  47
HOTEL;AW HOTEL PASARELA REAL;3122455882;hotelamericantravelaw@gmail.com;AV 5B No. 24N 88
HOTEL;HOTEL GRAND ILAMA;3012102001;juanestebanarangog@gmail.com;CL 46B No. 1N 43
HOTEL;HOTEL ALTIO;3184016281;financiero@easyliving.com.co;CR 3A OESTE No. 4 62
HOTEL;HOTEL BOUTIQUE LA CASA DE PIEDRA;3173769445;adm.lacasadepiedra@gmail.com;CL 14 No. 107  75
HOSTAL;ECOHOSTAL LA BATEA DE LOS COLIBRIES;3003703527;montenegronabor1960@gmail.com;VDA SAN FRANCISCO SECTOR LA PEÑA CORREGIMIENTO DE PANCE MUNICIPIO DE CALI
HOSTAL;HOSTAL PATIO DEL RIO;301610495;hostalpatiodelriocali@gmail.com;CR 10 No. 3  63
HOSTAL;THE VIEW COMPANY;3113088132;theviewcali@gmail.com;CL 8 OESTE No.35 84
HOTEL;SPICA CASA HOTEL;3866511;spicacasahotel@gmail.com;AV 2C No. 24N  133
APARTAHOTEL;APARTA HOTEL PLAZA REAL NORTE;3046580000;difos81@hotmail.com;AV 2 No. 21N  99
HOTEL;HOTEL LUBA;3157792889;luibotero13@hotmail.com;CR 3 No. 15 82
HOTEL;HOTEL ARISTON AW CALI;3122455882;samcaromosquerav@gmail.com;CR 4 No. 8 73
HOTEL;HOTEL NOW;6612758;dircontable@nowhotel.com.co;AV 9A No. 10N  74
HOSTAL;HOSTAL TEJAS ROJAS CALI;3234960592;dianagomezabc833@gmail.com;CL 5 No. 23 22
HOTEL;HOSTAL LA NOELIA;3045362218;andresmauricioh8@gmail.com;CR 37A No. 5B2 16
APARTAHOTEL;HACIENDA LA MARIA CALI;3146085674;mmonicarizo@gmail.com;CR 146 No. 25  25
CAMPAMENTO;LAS HAMACAS EXOTICUX;3166020802;ysagc27@gmail.com;KM 7 VIA CRISTO REY A 400 M DEL MONUMENTO
HOSTAL;THE PELICAN LARRY HOSTEL;3226454546;hostalpeliconcali@gmail.com;CL 20N No. 6A  44
HOTEL;SANTIAGO DC HOTEL;3004684776;santiagodccali01@gmail.com;CL 1 OESTE No. 4 26
HOSTAL;HOSTAL LA ESPERANZA LAS TRES CRUCES;3186064518;axilamoreno19@gmail.com;ALTOS DE NORMANDIA CORREGIMIENTO DE GOLONDRINAS CASA 105
HOTEL;HOTEL CALIMA REAL;6611861;silvacontador2018@gmail.com;CL 18N No. 3  18 
APARTAHOTEL;APARTA HOTEL PLAZA REAL SUR;3216121396;belalcazarplaza@gmail.com;CL 10 No. 60  43
HOTEL;HOTEL BOUTIQUE CIUDAD JARDIN;3176185831;ricardohoteles@gmail.com;CL 15A No. 106 124 CA 8
HOSTAL;CASA SILEO BOUTIQUE HOTEL;3214522654;mywayfirenze@gmail.com;AV 3 OESTE No. 10 152
APARTAHOTEL;HOSTAL LUZ CALI;3167955062;luzhostal@gmail.com;AV 2D NO. 24  22
APARTAHOTEL;LUXURY RECOVERY HOUSE N.2;3116454991;contabilidadluxuryrh@gmail.com;CR 59 No. 1D  10
APARTAHOTEL;BARCELOT APARTAHOTEL;4101305;barcelotapartahotel@hotmail.com;CR 8 No. 52  64
HOTEL;HOTEL Y CENTRO RECREACIONAL YANACONAS;3146824800;mcrada@comfenalcovalle.com.co;KM 11 VIA CRISTO REY
HOTEL;APARTAHOTEL EXOTICO;3127293365;apartahotelexotico@gmail.com;CR 10 No. 24  39
HOSTAL;CDA HOSTAL LA ESTACION;3005510419;kardi.24.ana@gmail.com;AV 2F No. 24N  96
APARTAHOTEL;APARTAHOTEL LA 21;3225943535;danielfelipeerazodiaz@gmail.com;CL 21 No. 15 55 
APARTAHOTEL;APARTA HOTEL LAS ACACIAS;6023264566;ivanerazo5@hotmail.com;CR 24 No. 23 15
HOSTAL;HYPE CALI;3117492281;alexfolleco@hotmail.com;CL 4 OESTE No. 3A 64
HOTEL;HOTEL  EL GRAN TERMINAL CALI;3162539405;rociomotoya42@yahoo.com;AV 2B No. 31AN  91
HOTEL;LOFT TORRE GRANADA;3208409535;cavr18@gmail.com;AV 8N No. 13N 09
HOTEL;HOTEL LAS PALMITAS CALI;3216984473;torooibaraa@gmail.com;CL 15 No. 21 72 
HOTEL;HOTEL INGENIO NJ;3233345926;hotelingenionj@gmail.com;CR 85B No. 15 64
HOSTAL;HOSTAL BUENA VIDA 1;3233671411;fulviamar62@gmail.com;CR 85 No. 20 15
APARTAHOTEL;APARTAHOTEL TRAVELER'S;3178538898;geraldine.serrano@hotmail.com;CR 24 No. 23 06
HOTEL;D'COLORS HOTEL;3148896767;carcaro9@hotmail.com;CR 15 No. 33A 55
HOTEL;ILAR HOTEL MARRAKECH;3205404286;felipeolarte@calu.com.co;CL 13 No. 67  40
HOTEL;COLOMBIA MEDICAL TOURS CALI;3161548641;colombiamedicaltours.com@gmail.com;CR 68 No. 2A 37
HOTEL;APARTAHOTEL  MOLINO ROJO;3148223377;pblcardenas@hotmail.com;CL 10 No. 38  21
HOTEL;NORTE REAL HOTEL;3026170365;fabionelsonlopezmontoya0@gmail.com;CL 23 DN No. 5AN  07
HOTEL;HBCF HOTEL BOUTIQUE CASA FARALLONES DE SANTIAGO DE CALI;3148890745;luisalfonsocallewagner@gmail.com;CL 5N No. 2N 54
HOTEL;APARTA HOTEL WALVE;6024029595;bambulitasbety14@hotmail.com;CL 95B1 No. 26P 24
HOTEL;HOTEL BOUTIQUE LECLERC CALI;3152285125;leclerchotelboutique@gmail.com;AV 9AN No. 10  51
HOSTAL;MIRADOR DE IMBANACO;3122006545;miradordeimbanaco@gmail.com;CR 4A No. 38B 64
APARTAHOTEL;HOTEL AW PUERTA DE SAN CAYETANO;3122455882;hotelurbanchipichape@gmail.com;CR 14 No. 1 57
HOTEL;OPERADORA LOGISTICA Y HOTELERA OLH;3150285670;olhhoteles@gmail.com;AV 9N No. 13 17
CAMPAMENTO;ORO VERDE;3026414893;coy9721@gmail.com;FCA EL RECUERDO VDA LOS KARPATOS CRR LOS ANDES
HOTEL;HOTEL ORDUZ;6023191037;gerenciaorduzcolombia@hotmail.com;CL 6 No. 5 42
HOSTAL;MI HOSTAL PATIO DEL RIO;3016104905;hostal.patiodelrio2024@gmail.com;CR 10 No. 3 63
