NOMBRE;CATEGORIA;SUBCATEGORIA;RESEÑA HISTORICA;DIRECCION;   NUMERO DE TELEFONO;HORARIO;PAGINA WEB O CORREO ELECTRONICO;PRECIO;ACCESIBILIDAD (discapacitados) ;RUTAS DEL MIO CERCANAS;PARQUEADEROS;RECOMENDACIONES;RESPONSABLE;;;;;;;;;;;;;;;;
GATO DE TEJADA Y LAS GATAS DEL RIO;CULTURAL;MONUMENTOS;Ubicado sobre la margen izquierda del Rio Cali, Av. 4ª Norte Oeste. Dentro de los planes de rescate del rio Cali y del embellecimiento de sus riberas, nació la idea de ubicar una escultura monumental en una de sus márgenes, fue así como el reconocido pintor y escultor Hernando Tejada donó su obra llamada “El gato del Rio”. En el mes de diciembre del año 2006 se realiza una convocatoria en donde varios artistas del valle del cauca y en general del país, realizaran una escultura la que sería la compañía del gato del río. Es así como quince artistas realizan una escultura consistente en una pequeña gata quien sería la novia del gato, por esto se realiza una encuesta dentro la comunidad caleña para que sea ella la que elija cual es la ganadora de dicho concurso. En el mes de Enero del año siguiente (2007) se elige a “Fogata”, obra realizada por el artista Roberto Molano González.;Av 4 OE Calle 3 oeste;N/A;Espacio Publico;N/A;Gratuita;si; A02, A05;No;N/A;N/A;;;;;;;;;;;;;;;;
PARQUE DE LA RETRETA;CULTURAL;PLAZAS Y PARQUES;Ubicado sobre la margen izquierda del Rio Cali y al costado derecho del puente ortiz. Lo conforman una amplia zona verde con vías peatonales, bancas y luminarias estilo francés y un kiosko  neoclásico réplica del que existió en la plaza de cayzedo hasta 1936, para recordar las viejas retretas o presentaciones musicales que dominicalmente hacia la banda municipal.;Paseo Bolivar;N/A;Espacio Publico;www.cali.gov.co;Gratuita;si;A01A - A05;No;N/A;N/A;;;;;;;;;;;;;;;;
LAS AVES DEL RIO;CULTURAL;MONUMENTOS;Este monumento fue donado por el Banco de Occidente a la ciudad como homenaje en sus 450 años de fundación.Ubicada en la manzana T. AV. 2ª norte, obra realizada y obsequiada a la ciudad por el artista de Roldanillo Omar Rayo, construida en láminas de acero, recubierta por material acrílico en color blanco y negro, fue inaugurada el 6 de diciembre de 1996.La conforman dos piezas llamadas “ Ave celosa del cóndor y Ave inspectora  de niveles”.;Av 2 Norte # 12 N - 26;N/A;Espacio Publico;www.cali.gov.co;Gratuita;si;E27-E27B  Pasa por la Av. 2N # 10 Norte - 75 ;No;N/A;N/A;;;;;;;;;;;;;;;;
CUADRIGA ROMANA;CULTURAL;MONUMENTOS;Ubicado en la Avenida Colombia con calle 4ª Oeste. Es una Cuadrilla Romana “carruaje alado por caballos utilizados para el combate”, la cual está sobre una estructura de ferro concretó en forma de obelisco, de allí su nombre, este fue construido en el año de 1926 por el escultor Juan FisherB. La escultura tenía su armazón en hierro forrado en cemento y yeso con pintura dorada, una vez terminada fue colocada en la azotea de su casa ubicada en la carrera 4ª con calle 15. Con el correr del tiempo no había caleño que no identificara el lugar como la calle de los caballos. Antes de morir el señor Juan B Quintero de origen Santandereano, deseó que el monumento fuese donado a la ciudad de Cali, y fue así como sus hijos para cumplir su voluntad lo entregaron a la ciudad a través de la Sociedad de Mejoras Públicas La cuadriga fue restaurada y ubicada en el sitio del obelisco e inaugurada el 11 de Diciembre del año 1990.;Avenida Colombia con calle 4ª Oeste;N/A;Espacio Publico;www.cali.gov.co ;Gratuita;si;A02;No;N/A;N/A;;;;;;;;;;;;;;;;
ACUAPARQUE DE LA CAÑA;DEPORTE, BIENESTAR Y SALUD;UNIDAD DEPORTIVA Y RECRETAIVA;"El Acuaparque de la Caña fue construido en 1983 cuando la ciudad contaba con una población promedio de 1,200,000 habitantes. stá ubicado en el corazón de la ciudad de Cali, en el cruce de la calle 44 con la carrera 8; tiene una extensión de 156 mil metros cuadrados; con capacidad de uso de 20,000 personas por día en todos sus espacios. Cuenta con los siguientes servicios: una piscina con olas, una piscina para niños, tres toboganes acuáticos, una piscina tarzanera con mecanismo de polea, un gran piscilago, una piscina semiolímpica, canchas de fútbol, microfútbol, baloncesto, tenis, béisbol y voleibol, juegos mecánicos para niños y adultos, juegos infantiles, salones para reuniones y fiestas, lago recreativo, viejoteca, sendero para caminantes, pista para carts y/o patinaje, cafeterías y restaurantes. Es un complejo recreacional que promueve el adecuado uso del tiempo libre de los habitantes de la ciudad y la región, convirtiéndose en atractivo turístico y recreativo especialmente durante la época de verano y de vacaciones.";Carrera 8 # 39 - 01;4384812;Martes a Domingo de 9:00am a 5:00pm en temporada alta se abre los lunes en el mismo horario;servicliente@crpcali.com;Adulto $15.000 niños de 3 a 12 años $12.500;si;P82- A45E;si;N/A;N/A;;;;;;;;;;;;;;;;
UNIDAD DEPORTIVA SAN FERNANDO;DEPORTE, BIENESTAR Y SALUD;UNIDAD DEPORTIVA Y RECRETAIVA;Ubicada entre las carreras 34 y 36 con diagonal 28. La conforman Las Piscinas Alberto Galindo Herrera, El Estadio Olímpico Pascual Guerrero, El Gimnasio Evangelista Mora, La Pista de Hockey, la construcción de esta unidad data de 1936 cuando se inician las obras del estadio inaugurado en 1937, y el cual se amplió en 1954 cuando la ciudad fue sede de los Vll  Juegos Atléticos Nacionales y cuando se construyeron las Piscinas y el Gimnasio. ;Carrera 34 Carrera 36 /Calle 5B1 y Calle 5B4;N/A;N/A;www.cali.gov.co(secretaria de deporte y la recreacion ;N/A;si;T31-E37-E21-E27;si;N/A;N/A;;;;;;;;;;;;;;;;
UNIDAD DEPORTIVA ALBERTO GALINDO;DEPORTE, BIENESTAR Y SALUD;UNIDAD DEPORTIVA Y RECRETAIVA;Ubicado en la calle 4 entre carreras 52 y 56, comprende, el Velódromo Alcides Nieto Patiño, Coliseo del Pueblo, la Liga de Bolos, la Pista de Bicicrós, y el Patinódromo Mundialista. ;Calle 2 Calle 3 /Carrea 52 Carrera 55;N/A;N/A;www.cali.gov.co(secretaria de deporte y la recreacion ;N/A;si;P27C (Coliseo del pueblo) E27 E27B-T31;si;N/A;N/A;;;;;;;;;;;;;;;;
UNIDAD DEPORTIVA JAIME APARICIO (PANAMERICANA);DEPORTE, BIENESTAR Y SALUD;UNIDAD DEPORTIVA Y RECRETAIVA;Ubicada entre la calle 9ª y autopista sur con carrera 39. Se construyó totalmente para los Vl Juegos Panamericanos de 1971 y en ella se encuentran las siguientes instalaciones: Estadio Panamericano, Piscinas Panamericanas – Hernando Borrero O byrney, Diamante de Béisbol, Diamante de softbal, Estadio para Hockey sobre el césped, coliseos alternos para voleibol, karate, patinódromo y un sin número de canchas populares para la práctica de diferentes deportes.;Autoposta sur - oriental Calle 9 / Carrera 36 Carrera 34;N/A;N/A;www.cali.gov.co(secretaria de deporte y la recreacion ;N/A;si;P27C;si;N/A;N/A;;;;;;;;;;;;;;;;
UNIDAD DEPORTIVA MARIANO RAMOS;DEPORTE, BIENESTAR Y SALUD;UNIDAD DEPORTIVA Y RECRETAIVA;"Ubicado en el sur oriente de Cali, se encuentra la Unidad Deportiva Mariano Ramos, construida para los Juegos Nacionales 2008 y terminada en el año 2013. Se compone de dos (2) coliseos además de espacios para la práctica de diferentes deportes como atletismo y futbol, que complementan las disciplinas de combate y gimnasia, también se encuentran la liga de Boxeo, liga de pesas y liga alterna de Gimnasia El coliseo de combate lleva el nombre de la medallista de oro olímpica “María Isabel Urrutia”, y el Coliseo principal lleva el mismo nombre de la Unidad Deportiva “Mariano Ramos"".";Calle 25 entre carrera 48 y carrera 50;N/A;N/A;www.cali.gov.co(secretaria de deporte y la recreacion ;N/A;si;A13B-P71;si;N/A;N/A;;;;;;;;;;;;;;;;
NORTE;N/A;N/A;Desde la tradicional Avenida sexta hasta centros comercial con estilos arquitectónicos que conservadores, clásicos y otros modernos, permiten que tanto la comunidad residente, visitantes y turistas, encuentren gran variedad de productos y servicios que ratifican a la ciudad estar a la vanguardia mundial, en calzado, moda, accesorios, artesanías y suvenires entre otros. Adicionalmente se encuentran oficinas para cambio de divisas y monedas extranjeras otorgando facilidad a los visitantes internacionales;AVENIDA SEXTA;N/A;Con 2 importantes centros comerciales: La 14 de la Sexta y Centro Comercial Chipichape. Con horarios de 8am a 9pm, y 10 a 9:00 p, respectivamente. Tambien hay gran cantidad de tiendas de ropa (casual,formal y deportiva)  accesorios para mascotas, Artículos para el hogar, entidades financieras en horario de 8am a 11:30am y 2pm a 4pm, utensilios para el hogar (Dollarcity y Home Sentry) en horarios de 9am a 8pm.;N/A;Espacio público - Costo de acuerdo a los servicios a tomar;SI;P27D;SI;N/A;N/A;;;;;;;;;;;;;;;;
CENTRO DE LA CIUDAD;N/A;N/A;La zona centro de la ciudad, se ha posicionado como el punto de encuentro de los residentes, visitantes y turistas, siendo una zona que combina, la parte histórica, con lo cultural, financiero y comercial. se encuentran más 20 centros comerciales, tiendas de marca y oulets, oficinas de cambio de divisas y monedas extranjeras, museos y tiendas de artesanías.;CRA 12 HASTA CRA 15 ENTRE CALLE 4 Y CALLE 11;N/A;"La mayor concentración de comercio de la ciudad alrededor de entidades de Gobierno : Gobernación del Valle, Asamblea Departamental, DIAN, Fiscalía general de la nación, Procuraduría general de la república, entre otros; y de servicios: Clínica Comfenalco, Notarías (3a, 6a, 8a, 9a, 10a, 13a, 14a), Museos (Arqueológico La Merced, Museo de arte religioso, Museo de oro Calima), Teatros (Municipal y Jorge Isaacs) e Iglesias (San Francisco, Catedral). Se destaca gran cantidad de entidades financieras, restaurantes, cafeterías, almacenes de ropa, calzado, artículos del hogar, entre otros. Ubicados en locales independientes y en Centros Comeriales: El Tesoro, La fortuna, Hong Kong, París, Elite, Papatos, Calicentro, Zamoraco, Exito Cra 8a, Pasaje Cali, Taiwan, Calles de oro, entre otros.";N/A;Espacio público - Costo de acuerdo a los servicios a tomar;SI;T31-E37-E21;Aproximadamente $2.000 /Hora;N/A;N/A;;;;;;;;;;;;;;;;
CENTRO - SUR;N/A;N/A;Desde el Estadio Olímpico Pascual Guerrero hasta la Carrera 56, encontramos  zonas comerciales, almacenes de cadena, tiendas, mini market y centros comerciales que además de ofertar productos y servicios, permiten compartir en medio de ambientes naturales, agradables y complementados con plazoletas de comidas para el deleite de propios y extraños.;DESDE LA CARRERA 34 HASTA LA CARRERA 56 Y DESDE LA CALLE QUINTA HASTA LA CALLE 10;N/A;N/A;N/A;Espacio público - Costo de acuerdo a los servicios a tomar;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;
SUR;N/A;N/A;Zona ubicada al sur del perímetro urbano. Se caracterizan por tener centros comerciales de uno y dos niveles en medio de la naturaleza con plazoletas de comidas, multicines y tiendas de marca local, nacional e internacional.;CRA 100 ENTRE CALLE 5 Y CALLE 23;N/A;"Gran concentración de Centros comerciales: Unicentro, Jardín Plaza, Holguines trade center, Palmas mall, Las velas, entre otros. Ofrece gran oferta gastronómica, y de comercio en general: Supermercados: Exito, Jumbo, Carulla, Mercamio, Supealejo, Superinter; tiendas de ropa, calzado y artículos en general. Además cuenta con Universidades, Colegios, institutos de enseñanza de idiomas y la Notaría 21.";N/A;Espacio público - Costo de acuerdo a los servicios a tomar;SI;E21-E31-T31-E41;SI (Parqueaderos de Centro Comercial $2.200/Hora) ;N/A;N/A;;;;;;;;;;;;;;;;
GRANADA;CULTURAL;ZONA GASTRONOMICA;"El barrio Granada que surgió en Cali, alrededor de 1890, fue el primer barrio residencial  en tener una oferta gastronómica y comercial, donde se encuentra cocina internacional; entre ellas francesa, mexicana, italiana y fusión; entre otras";Av 6Norte Av 9 Norte / Calle 10N Calle 22 Norte;N/A;Es la zona con mayor propuesta gastronómica de la ciudad con cerca de 60 diferentes restaurantes de todas las especialidades y conceptos. Cocina local e internacional y todas las gamas de precio.;N/A;Aproximadamente, entre $15.000 y $60.000 x Plato;SI;Versalles (E21-T42-E52)                            P27D- A85;Unos pocos restaurantes cuentan con parqueadero propio. Pero lo usual es parquear en la vía pública.;N/A;N/A;;;;;;;;;;;;;;;;
EL PEÑON;CULTURAL;ZONA GASTRONOMICA;El Barrio El Peñón es reconocido por su variada oferta gastronómica y  cocina internacional, cuenta con un parque que reúne los domingos,  artistas y artesanos famosos de la región y exponen sus obras y trabajos al público transeúnte;Calle 5 Calle 5 Oeste /Carrera 1 Carrera 4;N/A;Zona con gran propuesta gastronómica con cerca de 50 diferentes restaurantes de todas las especialidades y conceptos. Cocina local e internacional y todas las gamas de precio.;N/A;Aproximadamente, entre $15.000 y $60.000 x Plato;SI;A02;NO;N/A;N/A;;;;;;;;;;;;;;;;
SAN ANTONIO;CULTURAL;ZONA GASTRONOMICA;San Antonio es famoso y reconocido como un barrio tradicional, por su arquitectura colonial y su historia. Ha sido declarado Hito urbano, área de interés patrimonial y de preservación urbanística en el 2000, su capilla y su colina fueron declaradas Monumento nacional en el año de 1993. Actualmente la oferta gastronómica es muy variada, y con una mayor oferta de cocina internacional;calle 5 calle 3OE / Carrera 4 Carrera 12;N/A;Zona con gran propuesta gastronómica con cerca de 50 diferentes restaurantes de todas las especialidades y conceptos. Cocina local e internacional y todas las gamas de precio.;N/A;Aproximadamente, entre $10.000 y $60.000 x Plato;SI;E37-T31 (santa librada);NO;N/A;N/A;;;;;;;;;;;;;;;;
PARQUE DEL PERRO;CULTURAL;ZONA GASTRONOMICA;Ubicada en el barrio San Fernando viejo y ofrece una combinación de bares y restaurantes, con cocina nacional, internacional y comidas rápidas;Calle 4 hasta la Calle 3 Oeste / Carrera 34 Carrera 35;N/A;Zona con propuesta gastronómica con cerca de 20 diferentes restaurantes, especialmente comida típica y comida rápida con gama media de precio.;N/A;Aproximadamente, entre $8.000 y $20.000 x Plato;SI;T31 -E21-E37 (Estadio);NO;N/A;N/A;;;;;;;;;;;;;;;;
CIUDAD JARDIN;CULTURAL;ZONA GASTRONOMICA;Ubicada en el barrio ciudad jardín san Joaquín, donde se encuentra la oferta gastronómica nacional, internacional y fusión en la zona sur de la Ciudad;Carrera 103 Carrera 107/Calle 13 calle 16;N/A;Zona con propuesta gastronómica con cerca de 40 diferentes restaurantes, principalmente comida internacional y con gama de precio medio alto.;N/A;Aproximadamente, entre $15.000 y $60.000 x Plato;SI;T31 -E21-E37 (Jardin plaza);Unos pocos restaurantes cuentan con parqueadero propio. Pero lo usual es parquear en la vía pública.;N/A;N/A;;;;;;;;;;;;;;;;
PLAZA DE MERCADO ALAMEDA;CULTURAL;ZONA GASTRONOMICA;Ubicada en el popular  barrio alameda, donde se encuentra la mayor concentración de comida de mar y comida del pacifico y la oferta de cocina popular casera en la popular plaza alameda;Calle 8 calle 9 / Carrea 24 Carrera 26;N/A;Zona con propuesta gastronómica con cerca de 60 diferentes restaurantes, principalmente comida típica con gama de precio medio.;asoalameda@hotmail.com;Aproximadamente, entre $10.000 y $30.000 x Plato;SI;P80A-A02-A06;NO;N/A;N/A;;;;;;;;;;;;;;;;
CALLE NOVENA;CULTURAL;ZONA GASTRONOMICA;Es una zona gastronómica emergente donde se encuentran establecimientos con oferta de cocina típica, tradicional y rápida;Calle 9 Carrera 66 Carrera 34;N/A;Zona con propuesta gastronómica con cerca de 20 diferentes restaurantes, principalmente comida rápida (Hamburguesas, Pizzas, Arepas, Asados, etc) con gama de precio medio.;N/A;Aproximadamente, entre $15.000 y $30.000 x Plato;SI;P80A-A02-A06;NO;N/A;N/A;;;;;;;;;;;;;;;;
ALAMEDA ;CULTURAL;ZONA GASTRONOMICA;Ubicada en el popular  barrio alameda, donde se encuentra la mayor concentración de comida de mar y comida del pacifico  y la oferta de cocina popular casera en la popular plaza alameda;Cra. 26 8-37;N/A;Zona con propuesta gastronómica con cerca de 40 diferentes restaurantes, principalmente comida de mar con recetas del Pacífico Colombiano (Pescados y mariscos) con gama de precio medio.;N/A;Aproximadamente, entre $15.000 y $30.000 x Plato;SI;P80A-A02-A06;NO;N/A;N/A;;;;;;;;;;;;;;;;
DELIRIO;CULTURAL;ESPECTACULO DE SALSA;Un show único y original basado en la cultura popular caleña para el disfrute de todos, que con el sello de Hecho en Cali, se convirtió en símbolo de una ciudad cuyo lenguaje es el baile y su código, la Salsa;centro de eventos Valle del Pacifico - Yumbo;N/A;último vierne de cada mes en la carpa;www.delirio.com.co;$180.0000;si;No;si;N/A;N/A;;;;;;;;;;;;;;;;
ENSALSATE;CULTURAL;ESPECTACULO DE SALSA;Ensálsate es un espectáculo innovador que se basa en una fusión de géneros y ritmos musicales alrededor la Salsa, lleno de luces, colores y sonidos que evoca la imaginación, despierta los sentidos y provoca las emociones de las personas que asisten a él.;Hotel Dann Cartlon Cra 2 # 1 - 60;668 6628;El segundo viernes de cada mes ;administracion@ensalsate.co;$150.000 y $180.000;si;No resgistra;si;Con más de 80 artistas en escena, orquesta en vivo y un montaje digno de los mejores espectáculos del mundo, es reconocida como una de las  propuesta artística de la 'capital mundial de la salsa'.;N/A;;;;;;;;;;;;;;;;
"EL MULATO CABARET "" EL MULATO Y SU SWING LATINO""";CULTURAL;ESPECTACULO DE SALSA;El Mulato Cabaret, Casa de las estrellas de la Compañía Artística El Mulato y su Swing Latino, fue creado en el año 2010 como un espacio cultural y de entretenimiento donde la compañía artística expone periódicamente sus nuevas propuestas y creaciones del siempre en evolución, estilo de baile caleño.;Cra 31 # 7 - 25;N/A;No registra;mercadeoswingla@gmail.com.;No registra;si;No resgistra;no;"Clases de baile
Grupal
Personalizadas
Empresariales
Alquiler Salón de Eventos
";N/A;;;;;;;;;;;;;;;;
BARRIO OBRERO;CULTURAL;PATRIMONIO HSITORICO Y TURISTICO;Conocido inicialmente como el “barrio de los jornaleros” por El status de las gentes llegadas en el Ferrocarril del Pacifico o de San Nicolás, la clase obrera del Valle del Cauca, principalmente la del litoral Pacífico. Los habitantes obtenían sus ingresos como trabajadores de los Ferrocarriles Nacionales y en actividades como la industria textil y labores relacionadas con la minería, construcción, alfarería, ebanistería, zapatería y mecánica. Al centro del parque está ubicado el busto del General Eloy Alfaro, ex presidente ecuatoriano y caudillo liberal quien buscó siempre la reivindicación social, del cual el parque recibe el nombre, ofrenda de la colonia ecuatoriana residente en Cali en conmemoración del cuarto centenario de la fundación de la ciudad en 1937. ;Carrera 9 Carrera 12 /Calle 25 calle 19;N/A;La Casa del Melómano está ubicada en la Carrera 11 B No. 24 - 44 en el Barrio Obrero. Se encuentra abierta al público desde las 8:00 p.m. hasta las 3 a.m. todos los fines de semana. El apóstol Carlos Alfredo Molina Salas, mejor conocido como El coleccionista de la salsa;N/A;N/A;no;E41-T40-T42-P21A (Belalcazar);no;"Cali tiene una gran tradición musical, siendo la salsa una de las más reconocidas. La salsa en Cali es cosa seria, y algunos barrios han sido epicentro de esta cultura melómana. Uno de estos lugares fue el Barrio Obrero, cuna de bailadores y de amantes de la música.
Donde se encuentran aproximadamente 7 sitios emblematicos como lo son:          *Museo de la salsa o casa del melomano cra 11B#24-44
*La matraca cra 11 #22-80  *Reina Bahana calle 22 # 10 * El chorrito Antillano cra 9 # 23-91 *Nely Teka cra 10 # 20-69 *El rincon de Willy Calle 22 # 11-34                                                                                                                ";N/A;;;;;;;;;;;;;;;;
MUSEO DE LA SALSA JAIRO VARELA;CULTURAL;MUSEO;Un lugar para la memoria de Jairo Varela es también un lugar referente para la salsa en Cali, en todas sus vertientes, la música popular, el baile y la melomanía, un espacio que desde ya es conocido internacionalmente a través de la confianza que inspira el nombre de Jairo Varela y de los grandes músicos y orquestas.;Av 2 norte # 9 - 60;N/A;Martes a Viernes 10:00 am -1:00 / 2:00 - 7:00 pm. Sábados, domingos y festivos 1:00 - 6:00 pm;wwwcali.gov.co;entrada libre;si;A02;si;VIsitas guiadas hasta 30 personas por grupo;N/A;;;;;;;;;;;;;;;;
PLAZOLETA JAIRO VARELA;CULTURAL;PLAZAS Y PARQUES;Un nuevo y moderno espacio público de 8000 metros cuadrados se recuperó en el corazón de la ciudad, tras la demolición de una manzana de edificios. Es la Plazoleta de la Caleñidad “Jairo Varela”, ubicada frente al CAM, entre las avenidas 2N y 4N y las calles 10N y 12N. Este amplio sitio urbano tiene como propósito ofrecer nuevos espacios públicos que se conviertan en puntos de encuentro masivos para las familias caleñas y visitantes, alrededor de eventos y actividades lúdicas que se realicen en la plazoleta. El espacio es administrado por la Corporación para la Recreación Popular, mediante convenio interadministrativo suscrito con el Municipio de Cali;Av 2 norte Calle 9 Norte calle 10 Norte;N/A;Espacio Publico;wwwcali.gov.co;Gratuita;si;A02;si;"Tener un espacio para disfrute y goce libre ,mantenimiento de los espacios logrando tener jardines atractivos, lugares limpios y seguros.
Constante contacto con las diferentes dependencias de la Alcaldía, para el uso de los espacios (Plazoleta- Auditorio Cine Foro) para actividades de ciudad programadas a lo largo del año.";N/A;;;;;;;;;;;;;;;;
ZONA NORTE;N/A;N/A;"Esta zona está ubicada principalmente El barrio Granada que surgió en Cali, alrededor de 1890, la oferta de establecimientos nocturnos es entro otros; Restaurantes, Fondas, comidas rápidas, asaderos, comida de mar, fritanga, grilles, discotecas de Salsa, fuentes de soda, Restaurante-Bar, Bar de Rock, Bar Crossover, bares de vallenato, Bares de Rancheras y música popular, Karaoke, música de los años 60 o plancha. viejotecas, y oferta para la comunidad LGTBI";calle 15 Carrera 36 (menga);N/A;Zona con cerca de 30  sitios de rumba, con diferentes tipos de música (Rancheras, Salsa, Baladas, Cross Over, Karaoke) y distintas opciones de precio. Horarios: lunes, martes y miércoles la rumba en los establecimientos será hasta la 1:00 a.m. y los días jueves, viernes y sábados el horario se extenderá hasta las 5:30 a.m.;N/A;Aprox. $10.000 a $20.000 Cover no consumible;SI;No resgistra;Zonas para parqueo;N/A;N/A;;;;;;;;;;;;;;;;
CALLE QUINTA;N/A;N/A;"Ubicada en la vía más tradicional y emblemática de la ciudad de Cali en ámbitos históricos, culturales, y económicos; atraviesa la ciudad en sentido Noroccidente - Sur, a sus costados se encuentran ubicados algunos de los barrios tradicionales de la ciudad  Restaurantes, comidas rápidas, asaderos, fritanga, grilles, discotecas de Salsa más conocidas, fuentes de soda, Restaurante-Bar, Bar de Rock, Bar Crossover, bares de vallenato, Bares de Rancheras y música popular, música de los años 60 o plancha, ";Calle 5 entre Carrera 1 y Carrera 94.;N/A;"Zona con cerca de 5 sitios de rumba, enfocados a Salsa y ritmos latinos, con distintas opciones de precio. Se destaca ""La Topa Tolondra"" como sitio muy frecuentado por turistas, Horarios: lunes, martes y miércoles la rumba en los establecimientos será hasta la 1:00 a.m. y los días jueves, viernes y sábados el horario se extenderá hasta las 4:00 a.m.";N/A;Aprox. $10.000 a Cover no consumible;NO;T31 - E21 - T42 - ;NO;N/A;N/A;;;;;;;;;;;;;;;;
ZONA ALAMEDA;N/A;N/A;Se encuentra en el barrio popular Alameday la oferta de establecimiento nocturnos son: Restaurantes, fondas, comidas rápidas, asaderos, y principalmente la comida de mar, fritanga, grilles, discotecas de Salsa,  fuentes de soda, Karaoke, Restaurante-Bar y reconocidas Viejotecas;Calle 6 Calle 8 /Carrera 24 Carrera 34;N/A;Zona con cerca de 20  sitios de rumba, enfocados a Salsa, tangos y ritmos latinos, con distintas opciones de precio. Horarios: lunes, martes y miércoles la rumba en los establecimientos será hasta la 1:00 a.m. y los días jueves, viernes y sábados el horario se extenderá hasta las 4:00 a.m.;N/A;Tiene un valor aproximado de $10.000 a $20.000 el cover ;SI;Rutas Troncales ;NO;N/A;N/A;;;;;;;;;;;;;;;;
ZONA SUR - CARRERA 66 HASTA CIUDAD JARDIN;N/A;N/A;Restaurantes, fondas, comidas rápidas, asaderos, comida de mar, fritanga, grilles, discotecas de Salsa,  fuentes de soda, Restaurante-Bar, Bar de Rock, Bar Crossover, bares de vallenato, música de los años 60 o plancha, Bares de Rancheras y música popular, Karaoke, viejotecas, etc;Carrera 66 entre Calle 13 y calle 9 y zona ciudad jardin;N/A;En esta zona encontramos aproximadamente 300 lugares de rumba. Casi todos asociados a venta de comida (Tipo Bar/Pub) . Horarios: lunes, martes y miércoles la rumba en los establecimientos será hasta la 1:00 a.m. y los días jueves, viernes y sábados el horario se extenderá hasta las 4:00 a.m.;N/A;Tiene un valor aproximado de $15.000 a $20.000 el cover ;SI;T31 - T40;NO;N/A;N/A;;;;;;;;;;;;;;;;
BARRIO SAN FERNANDO;CULTURAL;PATRIMONIO HSITORICO Y TURISTICO;En esta zona se encuentran más de 5 escuelas de baile y formación artística donde la comunidad residente, como nuestros visitantes y turistas nacionales e internacionales tienen la oportunidad de disfrutar de clases de baile en grupo  o personalizadas y aprender el tradicional estilo de baile caleño como también ritmos latinos, que nos llevan a posicionar a Santiago de Cali como una ciudad multicultural dancistica y sonora.;Carrera 26 carrera 36B / Calle 6 Calle 9;3702692;En esta zona encontramos 2 de las principales escuelas de salsa de la ciudad: Swing latino y Sondeluz.;N/A;N/A;NO;No resgistra;NO;N/A;N/A;;;;;;;;;;;;;;;;
NORTE;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 5 hoteles. Con diversos estilos y categorías, pero con foco en Negocios. Destaca el Spiwak Chipichape.;N/A;Entre $100.000 y $250.000 La noche en acomodación doble.;SI;No resgistra;SI;N/A;N/A;;;;;;;;;;;;;;;;
CENTRO;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 15 hoteles. Con diversos estilos y categorías, pero con foco en Negocios. Destacan el Torre de Cali, Marriott y Movich casa del Alferez;N/A;Entre $100.000 y $250.000 La noche en acomodación doble.;SI;No resgistra;SI;N/A;N/A;;;;;;;;;;;;;;;;
OESTE;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 10 hoteles. Con diversos estilos y categorías. Destacan el Intercontinental y Dann Carlton.;N/A;Entre $100.000 y $250.000 La noche en acomodación doble.;SI;No resgistra;SI;N/A;N/A;;;;;;;;;;;;;;;;
SUR;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 6 hoteles. Con diversos estilos y categorías. Destaca el NH Cali Royal en Ciudad Jardín.;N/A;Entre $100.000 y $250.000 La noche en acomodación doble.;SI;No resgistra;SI;N/A;N/A;;;;;;;;;;;;;;;;
NORTE;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 5 hostales. Destaca el Monet. ;N/A;Entre $50.000 y $150.000 La noche;SI;No resgistra;NO;N/A;N/A;;;;;;;;;;;;;;;;
OESTE;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 15 hostales. Destaca el Posada San antonio;N/A;Entre $50.000 y $150.000 La noche;SI;No resgistra;NO;N/A;N/A;;;;;;;;;;;;;;;;
SUR;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 15 hostales. Destaca el Pasadena. Donde se hospedan muchos deportistas por la cercanía con la Unidad deportiva panamericana.;N/A;Entre $50.000 y $150.000 La noche;SI;No resgistra;NO;N/A;N/A;;;;;;;;;;;;;;;;
CENTRO;N/A;N/A;N/A;N/A;N/A;Oferta de aproximadamente 5 hostales. Destaca el Agatha en el barrio obrero;N/A;Entre $50.000 y $150.000 La noche;SI;T42- T31-E21;N/A;N/A;N/A;;;;;;;;;;;;;;;;
